,Cluster ID,group,Name,Municipality
0,145,CFF-All-Applications.csv,"20 Summers, Inc.",Provincetown
1,146,CFF-All-Applications.csv,"51 Walden, Inc.",Concord
4,149,CFF-All-Applications.csv,"826 Boston, Inc.",Roxbury
5,150,CFF-All-Applications.csv,Academy Playhouse,Orleans
11,156,CFF-All-Applications.csv,Acton Woman's Club^The,Acton
12,157,CFF-All-Applications.csv,Acton^Town of,Acton
13,158,CFF-All-Applications.csv,Actors Community Theatre,Hardwick
14,159,CFF-All-Applications.csv,Agassiz Baldwin Community,Cambridge
15,160,CFF-All-Applications.csv,"Alden Kindred of America, Inc.",Duxbury
16,161,CFF-All-Applications.csv,Alighieri Cultural Society^Dante,Cambridge
17,162,CFF-All-Applications.csv,"All Newton Music School, Inc.",West Newton
18,0,CFF-All-Applications.csv,"Alternatives Unlimited, Inc.",Whitinsville
19,1,CFF-All-Applications.csv,Amazing Things Arts Center,Framingham
20,163,CFF-All-Applications.csv,American Antiquarian Society,Worcester
27,170,CFF-All-Applications.csv,American Congregational Association,Boston
29,172,CFF-All-Applications.csv,American International College,Springfield
31,174,CFF-All-Applications.csv,American Repertory Theater Company,Cambridge
33,176,CFF-All-Applications.csv,American Textile History Museum,Lowell
38,181,CFF-All-Applications.csv,AmeriCorps Cape Cod,Barnstable
39,182,CFF-All-Applications.csv,"Ames Free Library of Easton, Inc.",North Easton
40,183,CFF-All-Applications.csv,Ames Memorial Hall Association^Oakes,North Easton
42,185,CFF-All-Applications.csv,"Amesbury Carriage Alliance, Inc.",Amesbury
45,188,CFF-All-Applications.csv,"Amherst Ballet Theatre Company, Inc.",Amherst
46,189,CFF-All-Applications.csv,"Amherst Cinema Arts Center, Inc.",Amherst
49,192,CFF-All-Applications.csv,"Amherst Community Television, Inc.",Amherst
50,193,CFF-All-Applications.csv,Andover^Town of,Andover
51,194,CFF-All-Applications.csv,"Anthony Birthplace Museum, Inc.^Susan",Adams
52,195,CFF-All-Applications.csv,Apollinaire Theatre Company,Chelsea
53,196,CFF-All-Applications.csv,"Apple Tree Arts, Inc.",Grafton
59,202,CFF-All-Applications.csv,"Aquinnah Cultural Center, Inc.",Aquinnah
61,204,CFF-All-Applications.csv,Aquinnah^Town of,Aquinnah
62,205,CFF-All-Applications.csv,"Architectural Heritage Foundation, Inc.",Boston
65,208,CFF-All-Applications.csv,"Arena Civic Theatre, Inc.",Greenfield
66,2,CFF-All-Applications.csv,"Arlington Center for the Arts, Inc.",Arlington
68,209,CFF-All-Applications.csv,Arlington^Town of,Arlington
69,210,CFF-All-Applications.csv,"Arms Library Association, Inc.",Shelburne Falls
71,212,CFF-All-Applications.csv,Artists Association of Nantucket,Nantucket
75,3,CFF-All-Applications.csv,"Artists for Humanity, Inc.",Boston
81,216,CFF-All-Applications.csv,Arts & Business Council of Gr. Boston,Boston
85,220,CFF-All-Applications.csv,"Arts Empowering Life Foundation, Inc.",Orleans
87,222,CFF-All-Applications.csv,Arts League of Lowell,Lowell
89,224,CFF-All-Applications.csv,Arts United Fall River,Fall River
90,225,CFF-All-Applications.csv,"ArtsBoston, Inc.",Boston
