group,Name,Municipality
CFF-All-Applications.csv,"20 Summers, Inc.",Provincetown
CFF-All-Applications.csv,"51 Walden, Inc.",Concord
CFF-All-Applications.csv,"51 Walden, Inc.",Concord
CFF-All-Applications.csv,"51 Walden, Inc.",Concord
CFF-All-Applications.csv,"826 Boston, Inc.",Roxbury
CFF-All-Applications.csv,Academy Playhouse,Orleans
CFF-All-Applications.csv,Academy Playhouse,Orleans
CFF-All-Applications.csv,Academy Playhouse,Orleans
CFF-All-Applications.csv,Academy Playhouse,Orleans
CFF-All-Applications.csv,Academy Playhouse,Orleans
CFF-All-Applications.csv,Academy Playhouse,Orleans
CFF-All-Applications.csv,Acton Woman's Club^The,Acton
CFF-All-Applications.csv,Acton^Town of,Acton
CFF-All-Applications.csv,Actors Community Theatre,Hardwick
CFF-All-Applications.csv,Agassiz Baldwin Community,Cambridge
CFF-All-Applications.csv,"Alden Kindred of America, Inc.",Duxbury
CFF-All-Applications.csv,Alighieri Cultural Society^Dante,Cambridge
CFF-All-Applications.csv,"All Newton Music School, Inc.",West Newton
CFF-All-Applications.csv,"Alternatives Unlimited, Inc.",Whitinsville
CFF-All-Applications.csv,Amazing Things Arts Center,Framingham
CFF-All-Applications.csv,American Antiquarian Society,Worcester
CFF-All-Applications.csv,American Antiquarian Society,Worcester
CFF-All-Applications.csv,American Antiquarian Society,Worcester
CFF-All-Applications.csv,American Antiquarian Society,Worcester
CFF-All-Applications.csv,American Antiquarian Society,Worcester
CFF-All-Applications.csv,American Antiquarian Society,Worcester
CFF-All-Applications.csv,American Antiquarian Society,Worcester
CFF-All-Applications.csv,American Congregational Association,Boston
CFF-All-Applications.csv,American Congregational Association,Boston
CFF-All-Applications.csv,American International College,Springfield
CFF-All-Applications.csv,American International College,Springfield
CFF-All-Applications.csv,American Repertory Theater Company,Cambridge
CFF-All-Applications.csv,American Repertory Theater Company,Cambridge
CFF-All-Applications.csv,American Textile History Museum,Lowell
CFF-All-Applications.csv,American Textile History Museum,Lowell
CFF-All-Applications.csv,American Textile History Museum,Lowell
CFF-All-Applications.csv,American Textile History Museum,Lowell
CFF-All-Applications.csv,American Textile History Museum,Lowell
CFF-All-Applications.csv,AmeriCorps Cape Cod,Barnstable
CFF-All-Applications.csv,"Ames Free Library of Easton, Inc.",North Easton
CFF-All-Applications.csv,Ames Memorial Hall Association^Oakes,North Easton
CFF-All-Applications.csv,Ames Memorial Hall Association^Oakes,North Easton
CFF-All-Applications.csv,"Amesbury Carriage Alliance, Inc.",Amesbury
CFF-All-Applications.csv,"Amesbury Carriage Alliance, Inc.",Amesbury
CFF-All-Applications.csv,"Amesbury Carriage Alliance, Inc.",Amesbury
CFF-All-Applications.csv,"Amherst Ballet Theatre Company, Inc.",Amherst
CFF-All-Applications.csv,"Amherst Cinema Arts Center, Inc.",Amherst
CFF-All-Applications.csv,"Amherst Cinema Arts Center, Inc.",Amherst
CFF-All-Applications.csv,"Amherst Cinema Arts Center, Inc.",Amherst
CFF-All-Applications.csv,"Amherst Community Television, Inc.",Amherst
CFF-All-Applications.csv,Andover^Town of,Andover
CFF-All-Applications.csv,"Anthony Birthplace Museum, Inc.^Susan",Adams
CFF-All-Applications.csv,Apollinaire Theatre Company,Chelsea
CFF-All-Applications.csv,"Apple Tree Arts, Inc.",Grafton
CFF-All-Applications.csv,"Apple Tree Arts, Inc.",Grafton
CFF-All-Applications.csv,"Apple Tree Arts, Inc.",Grafton
CFF-All-Applications.csv,"Apple Tree Arts, Inc.",Grafton
CFF-All-Applications.csv,"Apple Tree Arts, Inc.",Grafton
CFF-All-Applications.csv,"Apple Tree Arts, Inc.",Grafton
CFF-All-Applications.csv,"Aquinnah Cultural Center, Inc.",Aquinnah
CFF-All-Applications.csv,"Aquinnah Cultural Center, Inc.",Aquinnah
CFF-All-Applications.csv,Aquinnah^Town of,Aquinnah
CFF-All-Applications.csv,"Architectural Heritage Foundation, Inc.",Boston
CFF-All-Applications.csv,"Architectural Heritage Foundation, Inc.",Boston
CFF-All-Applications.csv,"Architectural Heritage Foundation, Inc.",Boston
CFF-All-Applications.csv,"Arena Civic Theatre, Inc.",Greenfield
CFF-All-Applications.csv,"Arlington Center for the Arts, Inc.",Arlington
CFF-All-Applications.csv,"Arlington Center for the Arts, Inc.",Arlington
CFF-All-Applications.csv,Arlington^Town of,Arlington
CFF-All-Applications.csv,"Arms Library Association, Inc.",Shelburne Falls
CFF-All-Applications.csv,"Arms Library Association, Inc.",Shelburne Falls
CFF-All-Applications.csv,Artists Association of Nantucket,Nantucket
CFF-All-Applications.csv,Artists Association of Nantucket,Nantucket
CFF-All-Applications.csv,Artists Association of Nantucket,Nantucket
CFF-All-Applications.csv,Artists Association of Nantucket,Nantucket
CFF-All-Applications.csv,"Artists for Humanity, Inc.",Boston
CFF-All-Applications.csv,"Artists for Humanity, Inc.",Boston
CFF-All-Applications.csv,"Artists for Humanity, Inc.",Boston
CFF-All-Applications.csv,"Artists for Humanity, Inc.",Boston
CFF-All-Applications.csv,"Artists for Humanity, Inc.",Boston
CFF-All-Applications.csv,"Artists for Humanity, Inc.",Boston
CFF-All-Applications.csv,Arts & Business Council of Gr. Boston,Boston
CFF-All-Applications.csv,Arts & Business Council of Gr. Boston,Boston
CFF-All-Applications.csv,Arts & Business Council of Gr. Boston,Boston
CFF-All-Applications.csv,Arts & Business Council of Gr. Boston,Boston
CFF-All-Applications.csv,"Arts Empowering Life Foundation, Inc.",Orleans
CFF-All-Applications.csv,"Arts Empowering Life Foundation, Inc.",Orleans
CFF-All-Applications.csv,Arts League of Lowell,Lowell
CFF-All-Applications.csv,Arts League of Lowell,Lowell
CFF-All-Applications.csv,Arts United Fall River,Fall River
CFF-All-Applications.csv,"ArtsBoston, Inc.",Boston
CFF-All-Applications.csv,"ArtsBoston, Inc.",Boston
CFF-All-Applications.csv,"Artspace, Inc.",Maynard
CFF-All-Applications.csv,"ArtsWorcester, Inc.",Worcester
CFF-All-Applications.csv,Asian American Resource Workshop,Dorchester
CFF-All-Applications.csv,"Aso Studio, Inc.^Kaji",Boston
CFF-All-Applications.csv,"Aso Studio, Inc.^Kaji",Boston
CFF-All-Applications.csv,"Association to Preserve Cape Cod, Inc.",Dennis
CFF-All-Applications.csv,Attleboro Arts Museum,Attleboro
